Country Code,Country Name,"Central government, Fiscal Balance (% of GDP) 2019",Current account balance (As % of GDP) 2019,Exports of goods and services (% of GDP) 2019,Imports of goods and services (% of GDP) 2019,"Inflation, consumer prices (annual %) 2019",Gross capital formation (% of GDP) 2019,Final consumption expenditure  (% of GDP) 2019,General government final consumption expenditure (% of GDP) 2019,Household final consumption expenditure  (% of GDP) 2019,Real GDP growth (annual %) 2019
NER,Niger,-4.496547332,-16.7013757284,15.0049200056,31.7625188661,2.7016834459,32.8855033159,83.8720955446,14.0300446786,69.8420508661,5.2891494585
NGA,Nigeria,-4.1850883075,3.3263895602,14.0314760731,11.7177954291,12.2152689324,14.8235313026,82.8627880535,4.2297627842,78.6330252693,2.3401126945
NORTH,North Africa,-4.8097357052,-4.9915014924,28.8589453516,38.9330599168,9.1812612848,31.3882283202,78.6858862449,18.0330027254,60.6528835195,4.4329098735
RWA,Rwanda,-4.3752343879,-9.1534960837,18.6043900592,35.5534607747,4.1352566007,25.7572798892,91.1917908263,14.8095588343,76.382231992,7.7661797275
SDN,Sudan,-1.6360321561,-2.2443674297,4.8031767375,6.6601690585,34.9880533308,30.6084115102,71.2485808108,7.6593839613,63.5891968495,3.5612111987
SEN,Senegal,-3.2971800748,-5.4254426996,22.3076705361,33.641898045,1.741463605,32.1926547639,79.141572745,13.6356978922,65.5058748527,6.6921215793
SLE,Sierra Leone,-7.8445065645,-18.3512172248,29.8733066642,54.7007027652,11.1798568598,19.6462863132,105.1811097878,11.4754924972,93.7056172906,5.5828035932
SOM,Somalia,0.1,-6.5,,,4.7,,,,,3.5
SOUTH,Southern Africa,-4.1756571918,-2.9571111585,31.6772916827,32.0286362886,7.105053709,22.8999845128,77.451360093,17.9175851965,59.5337748965,2.2440664553
SSA,Sub-Saharan Africa,-3.7254177693,-2.1191390935,23.3904656038,25.6297558366,9.1202158995,21.7407087961,80.2788836328,12.0062974931,68.2725861397,3.723636849
SSD,South Sudan,-1.404,-10.066,,,108.188,,,,,-2.59
STP,Sao Tome and Principe,-3.3445525595,-7.2960969398,23.4710705083,48.684942037,5.461841466,33.9238653163,91.2900062124,12.4959736435,78.7940325689,4.5619769863
SWZ,eSwatini,-6.0993487028,1.434761927,49.2257095737,46.4251203557,5.36292207,12.6582670519,84.5411437301,22.9535832693,61.5875604607,1.6729547143
SYC,Seychelles,-0.4135936797,-17.5595720454,93.6665772329,110.3176534698,3.5900514184,34.6440054589,82.007070778,22.4565910554,59.5504797226,3.296521839
TCD,Chad,0.1934708965,-4.2863608633,28.7307508261,26.9342115182,2.3383440483,6.1501797722,92.0532809199,9.7302671066,82.3230138132,4.1765614277
TGO,Togo,-1.6005953389,-6.7959872724,34.0664430573,51.6187456866,1.2111893396,20.7650519545,96.7872506749,16.0291638254,80.7580868494,4.9824847056
TUN,Tunisia,-4.522807623,-8.454602823,49.5398577844,59.9328036265,6.0896548479,20.0644395471,90.3285062949,18.9633382873,71.3651680076,2.8073739931
TZA,Tanzania,-3.2654369109,-3.3898768504,15.7509042895,17.8611963977,5.2450728497,26.6893895618,75.4209025464,11.831132413,63.5897701334,6.6372785055
UGA,Uganda,-4.4451853799,-4.8629976871,17.9137673505,27.1259139453,4.309835529,26.8346897823,82.3774568125,8.7877997014,73.5896571112,5.497528603
WEST,West Africa,-3.9399674705,0.0821536193,19.8708600466,22.2792391731,9.693778335,17.3625259346,85.0458531919,7.040767231,78.005085961,3.6425432307
ZAF,South Africa,-4.194928932,-3.1622842225,30.059345924,29.6601694914,5.3235105182,19.7153856547,79.8854379127,21.1933284544,58.6921094583,1.7075967014
ZAR,"Congo, Dem. Rep.",0.0336040309,1.8645449302,44.2574806005,27.0623990751,14.9056856642,23.2839622273,59.5209562473,5.63422999,53.8867262572,4.4592680729
ZMB,Zambia,-6.7120192956,-2.3517285932,38.5263275324,40.8734099147,7.8614202519,46.3490463049,55.9980360775,11.2791802042,44.7188558732,4.2360652844
ZWE,Zimbabwe,-10.7873619093,-4.0538720032,19.7769067094,33.0479703599,3.539569557,10.8794285998,102.3916350507,21.6499950524,80.7416399984,4.2164934116
