Pais,Desarrollo Humano y Calidad de Vida,Comercio Exterior y Consumo Doméstico,"Inversión, Participación y Crecimiento",Consumo Doméstico y Mercado Laboral,Política Fiscal y Estabilidad Económica,Desempeño Económico y Política Pública,Inflación y Finanzas Públicas
Angola,0.5477396468132913,-3.1835062398962073,-0.10177918003005118,-0.10204268414313258,0.39930533346315045,-1.9724896815024544,1.487287890712707
Burundi,-2.7401071164844915,-0.22871646419946576,0.21954082159601207,1.6220392921293274,-2.4963803499306607,-3.6444658703465884,1.2440767328805702
Benin,-1.234164225757432,0.5468401738689807,-0.316792715169653,-0.7943197115449632,1.4305466378167477,0.901547333655971,-0.19699224114057307
Burkina Faso,-0.7314610885544928,1.113075300562707,0.5319154844542192,-3.162814744782818,-0.41630065865899113,0.48185410652682836,-0.4572896882628822
Botswana,2.9116064778781663,-1.6449140375274947,-0.8235319237183,-1.2103671347726919,1.496025001450817,-0.6973744883294369,-0.26461172865544136
Cote d'Ivoire,-1.2464395765283482,-0.8551296085528907,-0.14513993111736812,-0.937525635487862,1.5304325080084402,0.565433998849184,-0.8274823808234889
Cameroon,-0.47467235917495004,-1.446949471301229,-0.18082535618278442,0.31163785803143457,1.0010313889602311,-0.5956574538365471,-0.880482033188981
"Congo, Rep.",2.0267745943504774,-0.20419521762795975,-1.0209501555825145,-2.8099090592964915,0.6655246993821482,-1.1099125199885458,-0.9784108631153305
Comoros,-0.3611006743803623,-0.10027161125737916,-0.9879636623161805,-0.3969918754360893,-1.1072760128722214,1.133104192906635,-0.8340955030725554
Cabo Verde,2.8799143963549616,0.9633398162389923,1.153780136959676,0.2701576083617974,0.5713685856746911,0.5443809289869224,0.1929851115893971
Djibouti,-0.2092745541218901,3.0378587390805043,2.176236489883258,-1.7180671141063915,-3.241807958341304,1.162950105332858,-1.4235972242773862
Algeria,4.823028736319197,-1.9985492370598197,1.1210985057718086,-0.8851441645787597,-1.334496623901095,0.8816028955482592,0.16725722960772132
Egypt,1.854769509974433,-1.7119958616358908,-0.9157264020136429,1.799225575285593,-2.356364721446039,2.8350636934576126,-0.33318474472318754
Ethiopia,-1.6303976296897333,-2.7992055125713082,2.6193926552067,0.6384014280606045,0.6397227412897307,0.6452228045964022,0.024125175050066425
Gabon,3.507783637805262,-1.144200919354305,-0.7940948024010344,-2.043724389614081,0.7339261429490204,0.38063632619219545,0.0714600067116884
Ghana,-0.7743542863946392,1.0091015841772615,-0.8630827943200629,2.212739483190206,1.1287682450652357,1.2051252408792568,-0.3075199997411722
Guinea,-2.353870702857915,1.7128584318850442,-0.3070819247768639,0.4142697616118689,-0.582161072039383,0.7092373468579821,0.31423474126210615
