Country Code,Country Name,"Central government, Fiscal Balance (% of GDP) 2019",Current account balance (As % of GDP) 2019,Exports of goods and services (% of GDP) 2019,Imports of goods and services (% of GDP) 2019,"Inflation, consumer prices (annual %) 2019",Gross capital formation (% of GDP) 2019,Final consumption expenditure  (% of GDP) 2019,General government final consumption expenditure (% of GDP) 2019,Household final consumption expenditure  (% of GDP) 2019,Real GDP growth (annual %) 2019,Population 2019,Gini Index 2019,Gross National Income Per Capita (2017 PPP$),Human Development Index (value),Inequality-adjusted Human Development Index (value),Life Expectancy at Birth (years),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Share of seats in parliament, female (% held by women)",Expected Years of Schooling (years)
GNB,Guinea-Bissau,-2.2345228633,-2.3343288795,29.5360021644,26.6781181075,2.1784971638,5.3732527467,91.7688631964,13.2958292159,78.4730339804,5.1227809327,1970457.0,,1930.555,0.488,0.311,60.882,49.23,64.05,709.508,13.725,10.429
GNQ,Equatorial Guinea,-0.4943378086,-2.8945715662,42.3822126638,25.3265802902,1.4209139776,14.540627518,68.4037401083,18.7956104663,49.608129642,-2.7046253875,1553031.0,,11833.252,0.653,,61.644,,,216.355,19.186,11.83
KEN,Kenya,-5.6966374336,-5.2109520747,13.9523832177,24.3234160204,5.4958105157,16.8716827707,93.499350032,14.2187253108,79.2806247212,5.998787842,50951450.0,,4527.725,0.604,0.423,62.943,62.9,73.0,502.917,23.261,11.295
LBR,Liberia,-0.6218728665,-22.2817143814,39.9459221497,61.8029776272,10.4718311544,10.0873479489,111.7697075286,18.832236441,92.9374710876,4.7387115549,4985289.0,,1325.606,0.485,0.306,61.104,43.51,50.05,667.962,11.65,10.393
LBY,Libya,1.6,2.9,25.7573907797,43.3880378305,10.2,27.7677507925,89.8628962583,55.4637454594,34.3991507989,10.8252429853,6569088.0,,22994.239,0.756,,72.463,32.7,59.64,72.491,15.957,14.085
LSO,Lesotho,-3.4195620038,-2.43023148,44.7933267155,81.8195148039,4.9110299428,27.4305776004,109.5956104879,34.0786047877,75.5170057002,1.2011598066,2225702.0,,2824.238,0.528,0.336,54.173,48.93,67.13,628.865,23.026,11.155
MAR,Morocco,-3.5661424852,-3.6846090728,37.4191866915,47.9324712247,1.6097402947,32.6871514695,77.8261330637,18.9023563074,58.9237767563,2.8712160646,36304408.0,,8093.259,0.684,0.496,74.27,22.03,70.65,76.358,18.447,13.702
MDG,Madagascar,-3.7856113144,-3.3215303703,31.8664525622,40.7147899236,7.1361100024,17.8742271422,90.9741102192,10.7014593564,80.2726508627,5.352942217,27533134.0,,1530.057,0.498,0.331,65.882,75.74,86.58,397.638,16.901,9.37
MLI,Mali,-2.3849410614,-6.3280291699,23.3697328117,40.96101425,1.7109848569,18.7851441348,98.8061373034,16.9453630597,81.8607742438,4.6541483287,20567424.0,,2131.325,0.421,0.282,59.664,51.57,79.91,428.263,9.524,7.063
MOZ,Mozambique,-8.485281464,-30.0247205046,38.679706279,74.8275313384,5.0394735926,41.5983671048,94.5494579545,25.0752349861,69.4742229684,4.5326253497,30285595.0,50.3,1265.071,0.465,0.269,61.166,70.52,77.57,149.919,41.2,10.604
